repository_name,repository_full_name,visibility,observed_role,canonical_status,evidence_summary,baseline_command,baseline_result,action
vaultghost-protocol,drosenbluth25/vaultghost-protocol,public,CANONICAL_SPECIFICATION_CANDIDATE,CLAIMED_CANONICAL,"README declares canonical specification; SPECIFICATION.md is a short speculative attribution document and does not yet correspond to the executable verification stack",NOT_APPLICABLE,NOT_RUN,"Complete normative rewrite only after correspondence audit and IP review"
vaultghost-core,drosenbluth25/vaultghost-core,public,CANONICAL_IMPLEMENTATION_CANDIDATE,UNCONFIRMED,"Dependencies and extensive evidence commits observed; README contains only a title",pytest,NOT_INDEPENDENTLY_RUN,"Inventory code/tests and establish exact verification command"
vaultghost-verify,drosenbluth25/vaultghost-verify,public,VERIFICATION_UTILITY,NON_CANONICAL,"README documents make verify, make verify-tampered, deterministic expected output, and pytest",make verify,NOT_INDEPENDENTLY_RUN,"Reproduce from frozen commit and record environment"
vaultghost-chain-ledger,drosenbluth25/vaultghost-chain-ledger,public,EVIDENCE_LEDGER_COMPONENT,NON_CANONICAL,"CHAIN_INDEX and verify-chain documented; README explicitly limits assurance to internal consistency",verify-chain,NOT_INDEPENDENTLY_RUN,"Pin commit and add external timestamp/attestation evidence"
vaultghost-stub,drosenbluth25/vaultghost-stub,public,RED_TEAM_PROTOTYPE,NON_CANONICAL,"Publicly described as a stub / prototype",UNRESOLVED,NOT_RUN,"Keep quarantined from production-readiness claims"
vaultghost-turn-records,drosenbluth25/vaultghost-turn-records,public,EVIDENCE_ARCHIVE_OR_EXPERIMENTAL,UNRESOLVED,"Repository observed but role/correspondence not fully inspected",UNRESOLVED,NOT_RUN,"Inspect contents and map to canonical release"
VaultGhost-Forensic-Attribution-Protocol,drosenbluth25/VaultGhost-Forensic-Attribution-Protocol,private,EVIDENCE_ARCHIVE,HISTORICAL_OR_SUPPORTING,"Hash-manifest correction, OTS receipt work, RFC/design records, and round-trip documentation observed",UNRESOLVED,NOT_RUN,"Preserve chronology; determine whether any normative content remains"
ProvenanceSync-3.2-Capsule,drosenbluth25/ProvenanceSync-3.2-Capsule,private,EXPERIMENTAL_TOOLING,NON_CANONICAL,"README describes operational hash/OTS/IPFS tooling but labels structure aspirational",UNRESOLVED,NOT_RUN,"Separate implemented files from planned structure"
vaultghost-rfc,drosenbluth25/vaultghost-rfc,private,HISTORICAL_OR_CONFLICTING_SPEC,CONFLICTING_AUTHORITY_RISK,"RFC and experiment history observed; public vaultghost-protocol separately claims canonical status",UNRESOLVED,NOT_RUN,"Declare superseded, supporting, or normative; do not leave ambiguous"
vaultghost-integration,drosenbluth25/vaultghost-integration,private,EXPERIMENTAL_INTEGRATION,NON_CANONICAL,"Initial integration commit observed; end-to-end behavior not demonstrated",UNRESOLVED,NOT_RUN,"Require pinned upstream SHAs and executable integration test"
spec-orchestration-eval-harness,drosenbluth25/spec-orchestration-eval-harness,private,EARLY_SCAFFOLD,NON_CANONICAL,"Only initial branch activity was established in connector review",UNRESOLVED,NOT_RUN,"Do not cite as validated harness until files/tests are inspected"
on-ledger-registry-spec,drosenbluth25/on-ledger-registry-spec,private,EXPERIMENTAL_GOVERNANCE_MODULE,NON_CANONICAL,"README claims executable registry proposal validation; novelty and ledger semantics unverified",UNRESOLVED,NOT_RUN,"Remove unsupported 'first' claim pending prior-art review"
perplexity-model-watcher,drosenbluth25/perplexity-model-watcher,private,UNRELATED_OR_PERIPHERAL,NON_CANONICAL,"Not established as part of the VaultGhost release spine",UNRESOLVED,NOT_RUN,"Keep outside canonical protocol inventory unless dependency is proven"
